unix,date,open,high,low,close,Volume USD,symbol,macd,macd_signal,macd_hist,rsi,volume,taker_buy_base,volume_delta,cvd,cvd_rolling
1609718400,2021-01-04 00:00:00,33000.05,33600.0,28130.0,31988.71,4429010349.695345,BTCUSD,3114.619,2532.932516,581.686484,80.3,506128.023,242947.199,-20233.625,-568191.497,-88536.058
1609804800,2021-01-05 00:00:00,31989.75,34360.0,29900.0,33949.53,3743617144.6469154,BTCUSD,3296.383952,2685.622803,610.761149,83.35,433720.833,214417.082,-4886.668999999994,-573078.166,-117710.493
1609891200,2021-01-06 00:00:00,33949.53,36939.21,33288.0,36769.36,4431954248.519614,BTCUSD,3626.170466,2873.732336,752.43813,86.57,444019.83,221236.888,-1546.0540000000035,-574624.22,-117210.708
1609977600,2021-01-07 00:00:00,36769.36,40365.0,36300.0,39432.28,5062569943.383372,BTCUSD,4055.653,3110.116468,945.536531,88.77,520147.908,257944.968,-4257.972000000009,-578882.192,-118265.736
1610064000,2021-01-08 00:00:00,39432.48,41950.0,36500.0,40582.81,5568443208.731365,BTCUSD,4437.704067,3375.633988,1062.070079,89.57,518080.826,254344.167,-9392.492000000027,-588274.684,-125745.388
1610150400,2021-01-09 00:00:00,40586.96,41380.0,38720.0,40088.22,3054779029.161777,BTCUSD,4647.005228,3629.908236,1017.096992,86.72,260882.805,126105.315,-8672.174999999988,-596946.859,-123338.785
1610236800,2021-01-10 00:00:00,40088.22,41350.0,35111.11,38150.02,4604034729.507071,BTCUSD,4603.416049,3824.609799,778.80625,76.45,436759.048,211717.223,-13324.602000000014,-610271.461,-122826.678
1610323200,2021-01-11 00:00:00,38150.02,38264.74,30420.0,35404.47,8497730017.898505,BTCUSD,4297.786168,3919.245072,378.541095,64.76,906275.651,443696.59,-18882.470999999903,-629153.932,-143130.15
1610409600,2021-01-12 00:00:00,35410.37,36628.0,32531.0,34051.24,4651302423.484116,BTCUSD,3901.404965,3915.677051,-14.272086,59.89,449065.693,222279.828,-4506.037000000011,-633659.969,-138324.126
1610496000,2021-01-13 00:00:00,34049.15,37850.0,32380.0,37371.38,4322876606.419625,BTCUSD,3811.24391,3894.790423,-83.546513,66.53,398188.088,199377.684,567.2800000000279,-633092.689,-141082.105
1610582400,2021-01-14 00:00:00,37371.38,40100.0,36701.23,39144.5,3974826638.1450887,BTCUSD,3838.617397,3883.555818,-44.938421,69.44,353142.386,175843.746,-1454.8939999999711,-634547.583,-146704.974
1610668800,2021-01-15 00:00:00,39145.21,39747.76,34408.0,36742.22,4371588898.681637,BTCUSD,3624.684062,3831.781466,-207.097404,61.63,437610.113,215685.402,-6239.309000000008,-640786.892,-157956.112
1610755200,2021-01-16 00:00:00,36737.43,37950.0,35357.8,35994.98,3178840336.1492844,BTCUSD,3356.156645,3736.656502,-380.499857,59.39,301102.477,146509.381,-8083.715000000026,-648870.607,-152658.155
1610841600,2021-01-17 00:00:00,35994.98,36852.5,33850.0,35828.61,2843103040.240664,BTCUSD,3094.253436,3608.175889,-513.922453,58.87,287686.129,142749.218,-2187.6930000000284,-651058.3,-145767.976
1610928000,2021-01-18 00:00:00,35824.99,37469.83,34800.0,36631.27,2554843260.524399,BTCUSD,2917.826325,3470.105976,-552.279651,60.64,253386.703,126929.278,471.8530000000028,-650586.447,-138400.112
1611014400,2021-01-19 00:00:00,36622.46,37850.0,35844.06,35891.49,2935348499.344214,BTCUSD,2687.334584,3313.551698,-626.217114,58.16,257889.419,127747.175,-2395.0689999999886,-652981.516,-137659.842
1611100800,2021-01-20 00:00:00,35901.94,36415.31,33400.0,35468.23,3126721093.520776,BTCUSD,2442.360661,3139.31349,-696.952829,56.73,329192.419,160202.354,-8787.71100000001,-661769.227,-130759.778
1611187200,2021-01-21 00:00:00,35468.23,35600.0,30071.0,30850.13,4386783586.504226,BTCUSD,1854.200913,2882.290975,-1028.090062,44.02,550562.277,269649.681,-11262.915000000035,-673032.142,-133802.099
1611273600,2021-01-22 00:00:00,30851.99,33826.53,28850.0,32945.17,4483295872.022273,BTCUSD,1539.387197,2613.710219,-1074.323022,49.54,453568.538,225783.671,-2001.1959999999965,-675033.338,-137039.141
1611360000,2021-01-23 00:00:00,32950.0,33456.0,31390.16,32078.0,2089098295.758437,BTCUSD,1206.019446,2332.172065,-1126.152619,47.45,256776.411,126744.171,-3288.0689999999886,-678321.407,-130363.535
1611446400,2021-01-24 00:00:00,32078.0,33071.0,30900.0,32259.9,1864609665.3657017,BTCUSD,945.600616,2054.857775,-1109.257159,47.95,212107.044,106443.006,778.9679999999935,-677542.439,-109350.942
1611532800,2021-01-25 00:00:00,32259.45,34875.0,31910.0,32254.2,2958759288.5635686,BTCUSD,730.337993,1789.953819,-1059.615826,47.93,316687.524,157598.395,-1490.7339999999967,-679033.173,-105955.007
1611619200,2021-01-26 00:00:00,32254.19,32921.88,30837.37,32467.77,2708545364.494641,BTCUSD,570.398923,1546.042839,-975.643916,48.59,346861.707,172363.344,-2135.018999999971,-681168.192,-106543.972
1611705600,2021-01-27 00:00:00,32464.01,32557.29,29241.72,30366.15,2958081421.641559,BTCUSD,270.939665,1291.022205,-1020.08254,42.84,431022.839,213394.744,-4233.350999999966,-685401.543,-106519.351
1611792000,2021-01-28 00:00:00,30362.19,33783.98,29842.1,33364.86,2953553214.065681,BTCUSD,272.446289,1087.307021,-814.860732,51.64,311528.373,158511.479,5494.584999999963,-679906.958,-91632.274
1611878400,2021-01-29 00:00:00,33368.18,38531.9,31915.4,34252.2,8195593336.228466,BTCUSD,341.306849,938.106987,-596.800138,53.9,713579.785,355439.304,-2701.177000000025,-682608.135,-85661.276
1611964800,2021-01-30 00:00:00,34246.28,34933.0,32825.0,34262.88,2884500062.9380784,BTCUSD,392.21986,828.929562,-436.709702,53.93,267861.872,133627.383,-607.1059999999707,-683215.241,-72943.78
1612051200,2021-01-31 00:00:00,34262.89,34342.69,32171.67,33092.98,2289641045.7580123,BTCUSD,334.313872,730.006424,-395.692551,50.33,211293.891,103318.718,-4656.455000000016,-687871.696,-58717.764
1612137600,2021-02-01 00:00:00,33092.97,34717.27,32296.16,33526.37,2791776658.0056057,BTCUSD,319.70851,647.946841,-328.238331,51.62,240632.325,122660.726,4689.126999999979,-683182.569,-49522.6
1612224000,2021-02-02 00:00:00,33517.09,35984.33,33418.0,35466.24,2716321896.3176084,BTCUSD,459.369625,610.231398,-150.861772,56.99,239856.23,123537.063,7217.895999999979,-675964.673,-42871.984
1612310400,2021-02-03 00:00:00,35472.71,37662.63,35362.38,37618.87,2951232788.1843047,BTCUSD,735.275518,635.240222,100.035296,62.03,240308.078,121022.039,1736.0,-674228.673,-39681.09
1612396800,2021-02-04 00:00:00,37620.26,38708.27,36161.95,36936.66,3452669022.153292,BTCUSD,888.640584,685.920294,202.72029,59.64,306715.022,150086.367,-6542.2880000000005,-680770.961,-39984.069
